t_s,robot_x,robot_y,robot_z,robot_qw,robot_qx,robot_qy,robot_qz,elevator_x,elevator_y,elevator_z,elevator_qw,elevator_qx,elevator_qy,elevator_qz,pivot_x,pivot_y,pivot_z,pivot_qw,pivot_qx,pivot_qy,pivot_qz
0.060027,7.143335,6.279382,0.000000,0.990894,0.000000,0.000000,0.134646,,,,,,,,,,,,,,
0.080043,7.140782,6.273107,0.000000,0.990751,0.000000,0.000000,0.135691,0.000000,0.000000,0.002654,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,0.863079,0.999481,0.000000,0.032208,0.000000
0.100040,7.138698,6.269761,0.000000,0.989981,0.000000,0.000000,0.141198,0.000000,0.000000,0.009302,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,0.869727,0.999456,0.000000,0.032975,0.000000
0.120000,7.135365,6.265513,0.000000,0.988787,0.000000,0.000000,0.149332,0.000000,0.000000,0.022591,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,0.883016,0.999431,0.000000,0.033741,0.000000
0.139996,7.128855,6.259467,0.000000,0.986627,0.000000,0.000000,0.162992,0.000000,0.000000,0.041994,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,0.902419,0.999378,0.000000,0.035274,0.000000
0.160012,7.125390,6.252000,0.000000,0.984191,0.000000,0.000000,0.177108,0.000000,0.000000,0.066582,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,0.927007,0.999431,0.000000,0.033741,0.000000
0.180009,7.113035,6.235954,0.000000,0.980100,0.000000,0.000000,0.198507,0.000000,0.000000,0.093470,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,0.953895,0.999575,0.000000,0.029142,0.000000
0.200043,7.096693,6.212851,0.000000,0.977301,0.000000,0.000000,0.211855,0.000000,0.000000,0.121599,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,0.982024,0.999660,0.000000,0.026075,0.000000
0.220095,7.085117,6.192913,0.000000,0.972845,0.000000,0.000000,0.231458,0.000000,0.000000,0.154670,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.015095,0.999680,0.000000,0.025308,0.000000
0.240092,7.068388,6.171716,0.000000,0.970176,0.000000,0.000000,0.242402,0.000000,0.000000,0.189278,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.049703,0.999680,0.000000,0.025308,0.000000
